Number,Arrival time,X1,X2,X3,,,,,
1,8:00,12,12,24,,,X1,X2,X3
2,8:00,11,11,22,,MEAN,10,12,22
3,8:00,12,14,26,,,,,
4,8:00,11,13,24,,,,,
5,8:00,8,12,20,,,,,
6,8:00,8,13,21,,,,,
7,8:01,12,11,23,,,,,
8,8:01,11,14,24,,,,,
9,8:01,12,10,22,,,,,
10,8:01,7,13,21,,,,,
11,8:01,13,11,24,,,,,
12,8:01,8,12,20,,,,,
13,8:02,12,14,26,,,,,
14,8:02,10,10,20,,,,,
15,8:02,7,11,18,,,,,
16,8:02,8,14,21,,,,,
17,8:02,13,11,24,,,,,
18,8:02,10,12,22,,,,,
19,8:03,11,10,21,,,,,
20,8:03,12,13,25,,,,,
21,8:03,11,12,23,,,,,
22,8:03,12,12,24,,,,,
23,8:03,9,13,22,,,,,
24,8:04,12,10,23,,,,,
25,8:04,7,11,19,,,,,
26,8:04,11,11,21,,,,,
27,8:05,12,10,22,,,,,
28,8:06,12,11,24,,,,,
29,8:06,13,12,25,,,,,
30,8:06,11,11,22,,,,,
31,8:06,10,12,22,,,,,
32,8:07,9,12,21,,,,,
33,8:07,11,12,23,,,,,
34,8:07,12,10,23,,,,,
35,8:07,11,12,23,,,,,
36,8:07,9,11,20,,,,,
37,8:07,10,11,21,,,,,
38,8:08,10,12,22,,,,,
39,8:08,12,14,25,,,,,
40,8:08,9,10,19,,,,,
41,8:08,8,12,20,,,,,
42,8:08,9,12,21,,,,,
43,8:09,8,12,20,,,,,
44,8:09,11,11,22,,,,,
45,8:09,9,13,22,,,,,
46,8:09,12,14,26,,,,,
47,8:09,12,13,25,,,,,
48,8:09,12,13,25,,,,,
49,8:10,13,14,27,,,,,
50,8:10,8,13,21,,,,,
51,8:11,9,11,20,,,,,
52,8:11,10,12,22,,,,,
53,8:11,8,11,19,,,,,
54,8:11,11,12,22,,,,,
55,8:11,8,12,19,,,,,
56,8:11,12,12,24,,,,,
57,8:11,12,11,23,,,,,
58,8:12,7,11,18,,,,,
59,8:12,7,12,19,,,,,
60,8:12,8,11,19,,,,,
61,8:12,11,12,23,,,,,
62,8:13,7,13,20,,,,,
63,8:13,11,10,21,,,,,
64,8:13,7,10,18,,,,,
65,8:13,13,12,24,,,,,
66,8:13,11,13,24,,,,,
67,8:13,11,12,23,,,,,
68,8:13,11,12,23,,,,,
69,8:14,7,12,19,,,,,
70,8:15,9,11,20,,,,,
71,8:15,9,11,20,,,,,
72,8:15,8,13,21,,,,,
73,8:15,12,10,22,,,,,
74,8:15,9,10,19,,,,,
75,8:15,11,13,23,,,,,
76,8:15,8,10,19,,,,,
77,8:16,13,12,24,,,,,
78,8:16,11,12,24,,,,,
79,8:16,12,11,23,,,,,
80,8:16,8,12,19,,,,,
81,8:17,11,11,23,,,,,
82,8:17,9,14,23,,,,,
83,8:17,12,11,23,,,,,
84,8:17,11,13,24,,,,,
85,8:17,9,13,22,,,,,
86,8:17,12,13,25,,,,,
87,8:17,9,10,20,,,,,
88,8:18,7,11,18,,,,,
89,8:18,10,14,24,,,,,
90,8:19,8,12,21,,,,,
91,8:19,10,12,22,,,,,
92,8:19,9,13,22,,,,,
93,8:19,7,13,21,,,,,
94,8:19,10,11,21,,,,,
95,8:19,12,11,23,,,,,
96,8:19,9,12,21,,,,,
97,8:20,10,14,23,,,,,
98,8:20,7,11,19,,,,,
99,8:20,9,11,20,,,,,
100,8:20,11,11,22,,,,,
101,8:20,8,11,19,,,,,
102,8:21,12,10,22,,,,,
103,8:21,11,13,24,,,,,
104,8:21,12,12,24,,,,,
105,8:21,9,11,20,,,,,
106,8:21,12,13,25,,,,,
107,8:22,8,11,19,,,,,
108,8:22,11,11,22,,,,,
109,8:22,10,12,23,,,,,
110,8:23,12,11,23,,,,,
111,8:23,9,13,22,,,,,
112,8:23,9,12,21,,,,,
113,8:23,12,12,24,,,,,
114,8:23,10,13,23,,,,,
115,8:23,8,11,19,,,,,
116,8:24,12,13,26,,,,,
117,8:24,9,13,22,,,,,
118,8:24,12,14,26,,,,,
119,8:24,11,10,21,,,,,
120,8:25,13,12,25,,,,,
121,8:25,13,11,23,,,,,
122,8:25,12,11,23,,,,,
123,8:25,9,12,21,,,,,
124,8:25,12,12,23,,,,,
125,8:25,10,13,23,,,,,
126,8:25,11,13,24,,,,,
127,8:25,8,11,19,,,,,
128,8:26,11,12,23,,,,,
129,8:26,10,13,24,,,,,
130,8:26,8,13,22,,,,,
131,8:27,9,12,22,,,,,
132,8:27,7,12,19,,,,,
133,8:27,11,11,22,,,,,
134,8:27,7,12,19,,,,,
135,8:27,11,13,23,,,,,
136,8:27,9,11,20,,,,,
137,8:27,8,11,19,,,,,
138,8:28,9,11,19,,,,,
139,8:28,11,11,22,,,,,
140,8:29,11,14,24,,,,,
141,8:30,9,13,22,,,,,
142,8:31,13,10,23,,,,,
143,8:31,8,10,18,,,,,
144,8:31,10,14,24,,,,,
145,8:31,10,12,21,,,,,
146,8:31,7,11,18,,,,,
147,8:32,8,11,19,,,,,
148,8:32,8,10,18,,,,,
149,8:32,9,11,20,,,,,
150,8:32,10,11,21,,,,,
151,8:32,13,14,27,,,,,
152,8:33,7,10,17,,,,,
153,8:33,12,11,23,,,,,
154,8:33,8,12,20,,,,,
155,8:33,8,11,18,,,,,
156,8:33,11,14,24,,,,,
157,8:34,11,12,23,,,,,
158,8:34,10,14,24,,,,,
159,8:34,13,11,24,,,,,
160,8:35,11,14,25,,,,,
161,8:35,10,12,22,,,,,
162,8:35,11,13,24,,,,,
163,8:35,7,11,18,,,,,
